Step,Actual_Displacement,Predicted_Displacement,Residual
162,0.74,0.7167228428041478,0.023277157195852216
163,0.804,0.7189195718551752,0.08508042814482486
164,1.061,0.7211297677796907,0.3398702322203092
165,0.62,0.7233546003712423,-0.10335460037124233
166,1.097,0.7255953630015549,0.37140463699844506
167,0.937,0.727853487893961,0.20914651210603907
168,0.845,0.7301305635476996,0.11486943645230041
169,1.012,0.7321525710217714,0.27984742897822856
170,0.959,0.7341760851650053,0.22482391483499464
171,0.831,0.7362012377856711,0.09479876221432881
172,1.071,0.7382281746955791,0.33277182530442084
173,0.861,0.7402570574493907,0.12074294255060924
174,1.171,0.7422880653299391,0.42871193467006097
175,0.825,0.7442882206404007,0.08071177935959928
176,0.734,0.746288375176248,-0.012288375176248034
177,0.839,0.7482885289413447,0.09071147105865529
178,0.752,0.7502886819395347,0.0017113180604653166
179,1.064,0.752288834174643,0.3117111658253571
180,1.217,0.7542889856504755,0.46271101434952455
181,1.143,0.7562891363708192,0.38671086362918083
182,0.916,0.758289286339442,0.157710713660558
183,0.717,0.7602894355600932,-0.04328943556009324
184,0.94,0.7622895840365033,0.17771041596349668
185,1.063,0.7642897317723842,0.2987102682276157
186,1.123,0.7662898787714294,0.3567101212285706
187,1.001,0.7682900250373137,0.2327099749626862
188,0.769,0.7702901705736939,-0.0012901705736938496
189,0.993,0.7722903153842084,0.22070968461579155
190,0.796,0.7742904594724774,0.02170954052752261
191,0.852,0.7762906028421033,0.07570939715789671
192,0.715,0.7782907454966701,-0.06329074549667013
193,0.937,0.7802908874397443,0.15670911256025577
194,0.989,0.7822910286748744,0.20670897132512556
195,1.159,0.7842911692055914,0.37470883079440864
196,1.002,0.7862913090354086,0.21570869096459144
197,0.727,0.7882914481678215,-0.061291448167821505
198,0.84,0.7902915866063087,0.04970841339369125
199,0.926,0.792291724354331,0.133708275645669
200,0.774,0.7942918614153324,-0.020291861415332346
201,0.91,0.796291997792739,0.11370800220726107
202,1.081,0.7982921334899603,0.28270786651003965
203,1.082,0.8002922685103891,0.2817077314896109
204,0.814,0.8022924028574007,0.01170759714259928
205,0.95,0.8042925365343537,0.14570746346564623
206,1.274,0.8062926695445901,0.4677073304554099
207,1.069,0.8082928018914354,0.2607071981085646
208,1.041,0.8102929335781979,0.23070706642180205
209,1.049,0.8122930646081699,0.23670693539183008
210,1.197,0.8142931949846272,0.3827068050153729
211,0.883,0.8162933247108292,0.06670667528917085
212,0.977,0.818293453790019,0.15870654620998093
213,1.087,0.8202935822254239,0.26670641777457604
214,1.079,0.8222937100202544,0.25670628997974554
215,1.273,0.8242938371777054,0.4487061628222945
216,1.129,0.8262939637009562,0.3027060362990438
217,0.843,0.8282940895931695,0.014705910406830447
218,0.99,0.8302942148574928,0.15970578514250722
219,1.058,0.8322943394970577,0.22570566050294238
220,0.876,0.8342944635149802,0.041705536485019845
221,0.898,0.8362945869143606,0.06170541308563937
222,0.866,0.8382947096982841,0.027705290301715868
223,1.201,0.8402948318698202,0.36070516813017983
224,0.901,0.8422949534320233,0.058705046567976704
225,1.08,0.8442950743879324,0.23570492561206768
226,1.215,0.8462951947405714,0.3687048052594287
227,1.166,0.848295314492949,0.3177046855070509
