Stage,Stage Name,Intercept,coef_R_eff_norm,coef_P_drive_norm,coef_C_event_norm,coef_BlastMem_norm,R2,MAE,RMSE,MSE,Training Samples,Test Samples,Last_Train_SD_pred,Train_Length,Test_Length
1,第1段 · 匀速蠕变,0.002421,0.000470,0.001076,-0.000003,-0.000150,0.175299,0.002442,0.003013,0.000009,6010,2960,14.895252,6010,2960
2,第2段 · 加速变形,0.009835,-0.000536,0.013068,-0.001507,0.000479,0.644977,0.007631,0.010238,0.000105,2408,1530,38.578142,2408,1530
3,第3段 · 快速破坏,0.387617,0.179050,0.067897,0.166565,-0.092706,0.399679,0.241741,0.315144,0.099315,1582,510,651.829939,1582,510
