阶段编号,阶段名称,起始索引,结束索引,起始时间（天）,结束时间（天）,持续时长（小时）,位移变化总量（mm）,阶段平均速度（mm/h）,拟合模型类型,模型参数
1,缓慢变形,0,6004,0,41.6944444444444,1000.83333333333,14.529714608196,0.0145176165943673,1阶多项式,"p=[2.055802e-04, 0.485962]"
2,加速变形,6005,8417,41.7013888888889,58.4513888888889,402.166666666667,23.6986092516499,0.0589273334065062,2阶多项式,"p=[-9.238347e-08, 1.425033e-02, -510.201203]"
3,快速变形,8418,9999,58.4583333333333,69.4375,263.666666666667,611.760467334079,2.32020404804328,双指数 exp2,"a=8.653731e-06, b=-1.636917e-01, c=-6.633510e+00, d=-1.491703e-04"
