Stage,Stage Name,Intercept,coef_R_eff_norm,coef_P_drive_norm,coef_M_cum_norm,coef_BlastMem_norm,R2,MAE,RMSE,MSE,Training Samples,Test Samples,Last_Train_SD_pred,Train_Length,Test_Length
1,第1段 · 匀速蠕变,0.000537,0.000551,0.000882,-0.003761,-0.000167,0.028026,0.006785,0.008652,0.000075,6005,2960,14.875969,6005,2960
2,第2段 · 加速变形,0.013258,-0.000720,0.023998,-0.012973,-0.001737,0.589261,0.008769,0.011738,0.000138,2413,1530,38.581196,2413,1530
3,第3段 · 快速破坏,0.130853,0.147418,0.071748,0.104806,-0.117164,0.353074,0.251017,0.329073,0.108289,1582,510,650.456644,1582,510
